4.5000,0,5
4.3636,1,25
4.4360,2,63
4.3636,3,25
4.5827,4,32
4.5827,5,32
4.5827,6,32
4.5827,7,32
4.7115,8,13
4.3426,9,27
4.5804,10,28
4.5804,11,28
4.5417,12,18
4.9405,13,21
4.7083,14,18
4.9167,15,15
4.4579,16,48
4.3824,17,17
4.7600,18,25
4.3763,19,24
4.3409,20,33
4.3409,21,33
4.4880,22,42
4.5761,23,23
4.4833,24,15
4.0952,25,11
4.0952,26,11
4.1974,27,19
4.7841,28,22
4.5577,29,13
4.7500,30,4
4.6667,31,12
4.4286,32,14
4.7500,33,8
2.0000,34,1
4.7500,35,8
4.7500,36,8
4.6250,37,4
4.6136,38,11
4.7143,39,14
4.6538,40,13
4.6538,41,13
4.7500,42,12
4.7500,43,12
4.5000,44,16
4.4167,45,9
